USER       UID     PID %CPU %MEM
caden     1000    2185  0.0  0.2
caden     1000    2187  0.0  0.2
caden     1000    2192  0.0  0.2
caden     1000    2200  0.0  0.2
caden     1000    2201  0.0  0.2
caden     1000    2208  0.0  0.2
caden     1000    2211  0.0  1.7
caden     1000    2212  0.0  0.2
caden     1000    2219  0.0  0.2
caden     1000    2220  0.0  0.7
caden     1000    2246  0.0  0.0
caden     1000    2247  0.0  0.1
caden     1000    2296  0.0  0.0
caden     1000    2297  0.0  0.0
caden     1000    2307  0.0  0.0
caden     1000    2315  0.0  0.4
caden     1000    2322  0.0  0.0
root         0    2323  0.0  0.0
caden     1000    2444  0.0  0.2
caden     1000    2463  0.0  2.2
caden     1000    2519  0.0  0.8
caden     1000    2521  0.0  0.8
caden     1000    2538  0.0  0.8
caden     1000    3135  0.0  1.2
caden     1000    3157  0.0  0.9
caden     1000    3225  0.0  0.8
caden     1000    6263  0.0  1.3
caden     1000    6329  0.0  0.2
caden     1000    6554  0.0  0.1
root         0    7174  0.0  0.0
caden     1000    7728  0.0  0.1
caden     1000    7770  0.0  0.1
root         0    7776  0.0  0.0
caden     1000    7801  0.0  0.1
root         0    7862  0.0  0.0
root         0    7968  0.0  0.0
root         0    7999  0.0  0.0
caden     1000    8049  0.0  0.1
root         0    8299  0.0  0.0
root         0    8300  0.0  0.0
root         0    8420  0.0  0.1
caden     1000    8421  0.0  0.0
caden     1000    8422  0.0  0.1
caden     1000    8424  0.0  0.1
